file,Essay Type,Country,Level,Elaboration N,Elaboration %,Same-Unit N,Same-Unit %,Attribution N,Attribution %,Joint N,Joint %,Enablement N,Enablement %,Background N,Background %,Comparison N,Comparison %,Contrast N,Contrast %,Manner-Means N,Manner-Means %,Temporal N,Temporal %,Condition N,Condition %,Summary N,Summary %,Cause N,Cause %,Topic-Comment N,Topic-Comment %,Evaluation N,Evaluation %,Explanation N,Explanation %,Textual-Organization N,Textual-Organization %,Topic-Change N,Topic-Change %,total lines
W_TWN_PTJ0_052_B1_1.txt.json,Jobs,TWN,B1_1,17,0.46,0,0.0,4,0.11,4,0.11,2,0.05,3,0.08,0,0.0,2,0.05,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,4,0.11,0,0.0,0,0.0,37
W_TWN_SMK0_183_B1_1.txt.json,Smoking,TWN,B1_1,20,0.71,2,0.07,2,0.07,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.07,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28
W_TWN_SMK0_182_B1_1.txt.json,Smoking,TWN,B1_1,14,0.47,0,0.0,2,0.07,4,0.13,2,0.07,1,0.03,0,0.0,3,0.1,0,0.0,1,0.03,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,30
W_TWN_SMK0_151_B1_1.txt.json,Smoking,TWN,B1_1,14,0.54,2,0.08,6,0.23,0,0.0,1,0.04,0,0.0,0,0.0,2,0.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,26
W_TWN_SMK0_159_B1_1.txt.json,Smoking,TWN,B1_1,16,0.52,0,0.0,6,0.19,6,0.19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,31
W_TWN_SMK0_033_B1_1.txt.json,Smoking,TWN,B1_1,13,0.41,2,0.06,1,0.03,10,0.31,2,0.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,3,0.09,0,0.0,0,0.0,32
W_TWN_PTJ0_156_B1_1.txt.json,Jobs,TWN,B1_1,22,0.73,0,0.0,1,0.03,0,0.0,2,0.07,2,0.07,1,0.03,1,0.03,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30
W_TWN_PTJ0_158_B1_1.txt.json,Jobs,TWN,B1_1,25,0.62,2,0.05,4,0.1,4,0.1,3,0.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,40
W_TWN_SMK0_128_B1_1.txt.json,Smoking,TWN,B1_1,13,0.39,2,0.06,4,0.12,5,0.15,1,0.03,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,1,0.03,4,0.12,0,0.0,0,0.0,33
W_TWN_PTJ0_009_B1_1.txt.json,Jobs,TWN,B1_1,19,0.56,0,0.0,0,0.0,2,0.06,2,0.06,2,0.06,0,0.0,3,0.09,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,0,0.0,1,0.03,3,0.09,0,0.0,0,0.0,34
W_TWN_SMK0_147_B1_1.txt.json,Smoking,TWN,B1_1,23,0.59,2,0.05,5,0.13,4,0.1,1,0.03,0,0.0,0,0.0,4,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,39
W_TWN_SMK0_025_B1_1.txt.json,Smoking,TWN,B1_1,17,0.57,0,0.0,0,0.0,12,0.4,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30
W_TWN_SMK0_045_B1_1.txt.json,Smoking,TWN,B1_1,22,0.63,4,0.11,4,0.11,0,0.0,2,0.06,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35
